Name,GWEIGHT,G0.05,G0.1,G0.15,G0.2,G0.25,G0.3,N0.05,N0.1,N0.15,N0.2,N0.25,N0.3,P0.05,P0.1,P0.15,P0.2,P0.25,P0.3,S0.05,S0.1,S0.15,S0.2,S0.25,S0.3,L0.05,L0.1,L0.15,L0.2,L0.25,L0.3,U0.05,U0.1,U0.15,U0.2,U0.25,U0.3
"SUB2       : nuclear mRNA splicing, via spliceosome* ",1,-0.78,-0.4,-0.14,-0.06,0.01,0.12,-0.72,-0.54,-0.07,0.02,0.23,0.33,-0.2,0.04,0.27,0.58,0.69,0.62,-0.96,-0.12,0.2,0.15,0.13,0.09,-0.58,-0.15,0.06,0.01,0.04,0.12,-1.77,-0.2,-0.03,0.03,0.12,0.12
CSE1       : protein-nucleus export ,1,-0.44,-0.39,-0.33,-0.17,0.08,0.21,-0.64,-0.47,0.21,0.27,0.44,0.36,0.11,0.15,0.24,0.64,0.41,0.54,-1.02,-0.38,0.14,0.08,0.07,0.17,-0.19,-0.1,-0.01,0,0.11,0.08,-1.69,-0.2,0.05,0.08,0.29,0.31
YSH1       : mRNA polyadenylylation* ,1,-0.45,-0.17,-0.09,-0.1,-0.01,0.09,-0.52,-0.5,0.2,0.09,0.28,0.08,0.05,0.12,0.07,0.24,0.25,0.14,-0.47,-0.23,0.11,-0.03,0.1,0.01,-0.24,-0.03,0.08,-0.02,0.09,0.09,-0.98,-0.43,-0.07,0.04,0.05,0.09
ORC3       : DNA replication initiation* ,1,-0.61,-0.42,-0.23,-0.31,-0.23,-0.14,-0.74,-0.74,0.16,0.22,0.06,0.07,-0.01,-0.06,0,0.07,0.3,0.29,-0.82,-0.06,0.2,0.11,0.19,0.1,-0.38,0.04,0.22,0.23,0.22,0.12,-1.04,-0.18,-0.05,0.14,0.17,0.11
MES1       : methionyl-tRNA aminoacylation ,1,-0.77,-0.58,-0.48,-0.52,-0.22,-0.03,-0.83,-0.7,-0.05,-0.24,-0.04,0.1,-0.56,-0.06,-0.06,-0.08,0.48,0.35,-1.1,-0.49,-0.16,-0.2,-0.05,-0.1,-0.56,-0.17,0.01,-0.06,-0.09,0.02,-2.02,-0.62,-0.22,-0.09,-0.04,0.08
LAG1       : replicative cell aging* ,1,-0.91,-0.54,-0.33,-0.24,-0.14,-0.04,-1.42,-1.06,-0.18,0.09,0.24,0.18,-0.67,-0.47,-0.12,0.28,0.27,0.05,-1.27,-0.58,-0.18,-0.01,0.06,0.28,-1.04,-0.14,-0.18,0.1,0.24,0.11,-2.79,-0.53,-0.29,0,0.11,0.24
          : biological process unknown ,1,-0.49,-0.52,-0.42,-0.29,-0.31,-0.19,-1.21,-1.08,-0.15,-0.3,0.06,-0.05,0,-0.04,-0.12,0.11,0.12,0.25,-0.56,-0.55,-0.16,-0.15,-0.11,0.04,-0.76,-0.22,-0.02,0.21,0.31,0.24,-1.6,-0.06,-0.05,0.51,0.29,0.26
SEC59      : protein amino acid glycosylation* ,1,-0.58,-0.4,-0.41,-0.26,-0.19,-0.23,-1.05,-0.65,0,-0.19,-0.08,-0.15,0.18,0.09,0.09,0.38,0.16,0.27,-0.91,-0.32,-0.35,-0.15,-0.24,0.11,-0.34,-0.03,-0.07,0.2,0.23,-0.16,-1.5,-0.19,-0.14,-0.01,0.12,0.26
CKA1       : protein amino acid phosphorylation* ,1,-0.53,-0.52,-0.18,-0.19,-0.15,-0.1,-1.13,-0.95,-0.22,0.35,0.19,-0.1,-0.06,-0.11,0.21,0.13,0.29,-0.19,-0.51,-0.46,-0.2,-0.15,0.09,-0.1,-0.41,0.28,0.03,0.04,0.21,0.12,-1.84,0.03,0.19,0.3,0.07,0.09
VPS66      : protein-vacuolar targeting ,1,-0.79,-0.42,-0.31,-0.28,-0.18,-0.15,-0.7,-0.67,0.16,0.28,0.41,0.18,-0.24,-0.1,0.09,0.09,0.03,-0.11,-0.21,-0.36,0.03,-0.04,-0.02,-0.05,-0.67,-0.31,-0.09,0.1,0.13,0.15,-1.32,-0.09,0.04,0.23,0.1,0.1
FAA3       : lipid metabolism* ,1,-0.98,-0.42,0.09,-0.25,-0.46,-0.46,-1.37,-0.47,0.38,0.47,0.22,0.14,-0.23,0.53,0.7,0.95,0.68,0.71,-1.2,-0.62,-0.38,-0.29,-0.22,-0.09,-1.05,-0.23,-0.05,0.21,0.35,0.3,-1.46,0.08,0.18,0.15,0.23,0.19
HFI1       : transcription from RNA polymerase II promoter* ,1,-0.73,-0.65,-0.38,-0.33,-0.1,-0.03,-0.58,-0.49,0.16,0.35,0.32,0.2,0.11,0.17,0.37,0.51,0.49,0.58,-0.8,-0.3,-0.13,-0.04,0.04,0.06,-0.58,-0.04,0.13,0.19,0.25,0.18,-0.79,0,0.05,0.11,0.14,0.22
MMM1       : mitochondrion organization and biogenesis* ,1,-0.75,-0.36,-0.4,-0.35,-0.14,0.05,-0.98,-0.93,-0.44,-0.38,0.06,0.4,0.42,0.62,0.69,0.74,0.65,0.55,-1.29,-0.56,-0.33,-0.39,-0.28,0,-0.46,-0.32,-0.18,-0.04,0.05,0.25,-0.76,0.12,0.13,0.47,0.43,0.48
MPD1       : protein folding ,1,-1.09,-0.81,-0.37,-0.19,-0.12,-0.06,-1.48,-1.17,-0.3,-0.07,0.1,0.18,0.35,0.4,0.84,1.08,0.82,0.99,-1.81,-0.89,-0.59,-0.4,-0.15,-0.07,-0.69,-0.49,-0.24,-0.04,0.16,0.07,-0.98,-0.19,-0.02,0.12,0.09,0.2
GPI8       : attachment of GPI anchor to protein ,1,-0.75,-0.82,-0.61,-0.5,-0.29,-0.21,-0.92,-0.68,-0.09,0.25,-0.01,0.21,0.46,0.3,0.25,0.42,0.49,0.71,-1.37,-0.34,-0.16,-0.02,-0.12,0.16,-0.53,-0.18,-0.18,-0.02,-0.08,-0.02,-0.57,0.21,-0.08,-0.1,0.26,0.2
"PUF2       : mRNA catabolism, deadenylylation-dependent decay ",1,-0.67,-0.64,-0.28,0.01,-0.11,-0.25,-0.85,-0.58,-0.18,-0.17,-0.12,-0.04,0.09,0.09,0.23,0.3,0.4,0.25,-1.42,-0.07,-0.09,-0.12,-0.07,0.18,-0.71,-0.39,-0.22,-0.06,-0.05,0.12,-0.84,-0.05,-0.08,-0.07,0.29,0.16
          : biological process unknown ,1,-0.6,-0.68,-0.44,-0.01,0.08,0.12,-0.81,-0.36,0.06,0.37,0.19,0.23,-0.01,-0.16,0.56,0.51,0.42,0.29,-0.96,-0.42,-0.37,0.03,-0.06,0.33,-0.63,-0.26,-0.29,-0.16,-0.04,0,-1.14,-0.16,-0.02,-0.14,0.25,0.28
HGH1       : biological process unknown ,1,-0.41,-0.33,-0.23,-0.21,-0.11,0.03,-0.86,-0.79,-0.14,-0.29,0.12,0.15,0.06,0.19,0.29,0.2,0.47,0.38,-0.6,-0.64,-0.36,-0.11,-0.02,0.21,-0.57,-0.02,-0.03,-0.11,0.27,0.11,-0.79,-0.39,0.13,0.03,0.25,0.47
ERO1       : protein folding* ,1,-0.38,-0.61,-0.7,-0.82,-0.53,-0.32,-1.29,-1.08,-0.38,-0.14,0.03,-0.02,-0.07,-0.2,0.17,0.36,0.62,0.77,-0.72,-0.54,-0.05,-0.16,0.05,0.04,-0.01,0.27,0.07,0.04,0.11,0.12,-1.25,-0.03,0.14,0.12,0.22,0.12
RPC19      : transcription from RNA polymerase I promoter* ,1,-0.43,0.01,-0.23,-0.41,-0.33,-0.1,-1.82,-1.12,0,-0.03,0.19,-0.28,-0.03,0.14,0.58,0.38,0.53,0.57,-0.24,-0.19,0.07,0.03,0.12,-0.03,-0.66,-0.18,-0.09,-0.13,-0.05,-0.01,-0.99,-0.18,0,0.14,-0.06,0.03
UAF30      : transcription from RNA polymerase I promoter ,1,-0.43,-0.02,-0.32,-0.44,-0.14,0.15,-1.38,-1.25,0.03,0.13,0.04,-0.07,0.28,0.45,0.56,0.64,0.4,0.41,-0.16,-0.06,0.15,0.03,0.26,-0.13,-0.39,-0.08,-0.11,0,-0.07,0.03,-0.85,-0.53,0,0.05,-0.04,-0.18
SLX9       : DNA metabolism ,1,-0.52,-0.22,-0.73,-1.06,-0.41,-0.07,-1.62,-1.08,0.09,0.53,0.37,-0.07,0.31,0.31,0.58,0.49,0.6,0.68,-0.51,-0.38,0.05,-0.02,0.08,-0.06,-0.66,-0.13,-0.24,-0.09,-0.12,0,-1.28,-0.57,-0.25,0.03,-0.1,-0.15
ECM1       : cell wall organization and biogenesis* ,1,-0.35,-0.18,-0.62,-0.64,-0.04,0.25,-1.68,-1.4,-0.07,0.02,0.02,-0.04,0.56,0.34,0.62,0.56,0.61,0.64,-1.01,-0.14,0.02,0.05,0.03,0.14,-0.8,-0.45,-0.55,-0.25,0.13,0.34,-1.15,-0.36,-0.05,0.13,0.07,0.21
ERJ5       : biological process unknown ,1,-0.92,-0.74,-0.62,-0.68,-0.44,-0.21,-1.56,-1.38,-0.15,0.12,0.48,0.01,0.92,0.69,0.6,0.86,0.68,0.63,-0.94,-0.55,-0.06,-0.01,0.1,0.08,-0.42,-0.39,-0.11,0.03,-0.02,0.12,-0.89,-0.48,-0.06,0.26,-0.13,-0.08
POA1       : tRNA splicing ,1,-0.67,-0.34,-0.61,-0.79,-0.13,-0.1,-2.03,-1.59,-0.4,0,-0.04,-0.98,0.28,0.11,0.44,0.65,0.28,0.48,-1.23,-0.69,-0.48,-0.2,0,0,-0.67,-0.27,-0.56,-0.25,-0.12,-0.02,-0.98,-0.43,0.07,-0.09,-0.2,-0.33
SEC66      : filamentous growth* ,1,-0.74,-0.56,-0.73,-0.85,-0.49,-0.27,-2.22,-1.74,-0.19,-0.37,0.04,-0.33,-0.07,0.05,0.21,0.52,0.52,0.67,-1.35,-0.75,-0.17,-0.23,-0.19,-0.12,-0.94,-0.45,-0.58,-0.35,-0.27,-0.17,-1.23,-0.51,-0.17,-0.33,-0.18,-0.25
TIF11      : translational initiation ,1,-0.92,-0.6,-0.49,-0.46,-0.21,-0.19,-2.39,-1.36,-0.05,0.35,0.16,-0.3,0.05,-0.25,0.66,0.51,0.8,0.9,-0.23,-0.76,-0.18,-0.14,-0.11,0.04,-0.74,-0.5,-0.51,-0.23,-0.26,0.02,-1.27,-0.56,-0.16,0.08,-0.07,-0.24
          : biological process unknown ,1,-0.93,-0.5,-0.6,-0.7,-0.33,0.02,-2.23,-1.37,-0.37,-0.01,0.01,-0.17,0.15,0.15,0.62,0.58,0.44,0.67,-0.19,-0.58,-0.19,-0.04,0.1,-0.02,-0.75,-0.49,-0.42,-0.31,-0.29,0.09,-0.78,-0.18,-0.04,0.12,-0.15,0.07
          : biological process unknown ,1,-0.91,-0.79,-0.86,-0.98,-0.36,-0.09,-2.05,-1.43,-0.69,-0.17,-0.17,-0.39,0.55,0.33,0.49,0.49,0.52,0.87,-0.21,-0.91,-0.5,-0.3,-0.19,-0.11,-0.73,-0.42,-0.44,-0.14,-0.07,0.14,-0.81,-0.25,-0.04,0.16,0.06,0.06
          : biological process unknown ,1,-0.62,-0.48,-0.61,-0.46,-0.2,-0.07,-1.36,-1.37,-0.57,0.03,0.12,-0.08,0.15,0.15,0.51,0.39,0.34,0.14,-0.94,-0.65,-0.32,-0.32,-0.18,-0.19,-0.35,-0.37,-0.19,-0.12,-0.01,-0.09,-0.34,-0.3,0.01,0.22,0.07,-0.06
SHE3       : intracellular mRNA localization* ,1,-0.71,-0.65,-0.62,-0.51,-0.28,0.11,-1.3,-1.14,-0.37,-0.14,0.01,0.02,-0.11,0.01,0.28,0.45,0.54,0.4,-0.69,-0.77,-0.31,-0.19,-0.26,-0.07,-0.34,-0.07,-0.13,-0.03,0,0.11,-0.7,-0.36,-0.06,-0.11,0.13,0.17
          : biological process unknown ,1,-0.45,-0.5,-0.54,-0.59,-0.27,0.09,-1.13,-1.08,-0.53,0,0.1,0.02,0,-0.04,0.18,0.01,0.23,0.34,-0.69,-0.83,-0.36,-0.21,-0.1,-0.1,-0.44,-0.21,-0.1,-0.02,0,0.11,-0.73,-0.46,-0.21,-0.04,0.03,0.19
DIM1       : rRNA modification* ,1,-0.57,-0.71,-0.54,-0.55,-0.06,0.13,-1.04,-1.05,-0.44,-0.21,-0.1,-0.04,0.36,0.3,0.24,0.19,0.39,0.51,-0.96,-0.76,-0.1,-0.32,-0.1,-0.31,-0.39,-0.28,0.03,0.08,0.17,0.19,-0.84,-0.45,-0.1,0.11,-0.12,0
RRP7       : 35S primary transcript processing* ,1,-0.56,-0.73,-0.35,-0.23,-0.11,0.01,-1.01,-0.73,-0.22,0.09,0.08,-0.14,0.17,0.2,0.28,0.21,0.28,0.36,-0.64,-0.72,-0.03,-0.06,-0.16,-0.04,-0.44,-0.22,-0.05,0.04,0,0.03,-0.57,-0.17,0.13,0.12,0.28,0.08
IPI3       : 35S primary transcript processing* ,1,-0.66,-0.76,-0.39,-0.43,-0.11,0.05,-1.11,-0.77,-0.23,-0.3,0.08,0.13,0.03,-0.06,0.06,0.27,0.25,0.33,-1.02,-0.53,-0.11,-0.07,-0.08,-0.03,-0.64,-0.53,-0.02,-0.14,0.07,0.15,-0.67,-0.4,-0.04,0.07,0.14,0.14
SOF1       : rRNA modification* ,1,-0.79,-0.44,-0.24,-0.31,-0.09,0.04,-1.29,-0.91,-0.11,0.01,0.15,-0.13,0.2,0.48,0.51,0.39,0.38,0.44,-0.74,-0.56,0.07,0,0.17,0.02,-0.5,-0.16,-0.19,-0.04,0.12,0.13,-1.09,-0.65,0.04,0.1,0,0.07
FAL1       : 35S primary transcript processing ,1,-0.72,-0.69,-0.57,-0.77,-0.21,0.09,-1.15,-0.89,-0.02,0.23,0.19,0.09,0.53,0.37,0.42,0.68,0.53,0.7,-0.39,-0.44,0.12,0.06,0.09,-0.16,-0.75,-0.49,-0.42,-0.26,-0.02,0.17,-1.2,-0.57,-0.2,0.02,0.06,0.26
DBP9       : 35S primary transcript processing* ,1,-0.51,-0.42,-0.39,-0.53,-0.31,-0.16,-1.14,-0.97,-0.05,-0.13,0.1,-0.12,0.3,0.4,0.46,0.51,0.49,0.25,-0.5,-0.4,-0.04,-0.12,-0.09,-0.17,-0.78,-0.55,-0.51,-0.5,-0.2,-0.19,-1.22,-0.65,-0.18,-0.3,-0.16,-0.1
ALG5       : protein amino acid N-linked glycosylation ,1,-1.1,-0.69,-0.67,-0.71,-0.42,-0.19,-1.67,-1.32,-0.3,-0.03,0.22,-0.08,0.39,0.39,0.87,1.02,0.94,0.84,-1.51,-0.75,-0.24,-0.29,-0.2,-0.18,-1.13,-0.76,-0.48,-0.23,-0.09,0.02,-1.71,-0.54,-0.29,-0.07,-0.1,-0.07
NHP2       : rRNA modification* ,1,-1.08,-0.6,-0.68,-0.62,-0.33,-0.13,-1.44,-1.39,-0.69,-0.22,-0.01,-0.37,0.39,0.32,0.69,0.59,0.87,0.82,-0.87,-0.61,-0.03,-0.14,-0.08,-0.24,-0.52,-0.41,-0.27,-0.34,-0.24,-0.04,-1.18,-0.83,-0.27,-0.14,-0.37,-0.26
          : biological process unknown ,1,-1.03,-0.91,-0.85,-0.91,-0.34,0.04,-1.25,-1.15,-0.4,-0.36,0.03,-0.16,0.54,0.62,0.69,0.64,0.9,0.63,-0.5,-0.78,-0.18,-0.27,-0.13,-0.32,-0.99,-0.68,-0.55,-0.47,-0.3,-0.06,-0.99,-0.69,-0.32,-0.12,-0.2,0.02
          : rRNA processing* ,1,-1.12,-1,-1.04,-1.01,-0.33,0.18,-1.78,-1.57,-0.64,-0.39,0.02,-0.05,0.41,0.34,0.48,0.55,0.74,0.86,-0.63,-0.96,-0.21,-0.16,0,0.02,-0.85,-0.55,-0.17,0.05,0.07,0.17,-0.95,-1.03,-0.3,0.01,-0.03,0
          : biological process unknown ,1,-0.53,-0.48,-0.73,-0.59,-0.23,0.06,-1.22,-1.26,-0.32,-0.14,0.17,0.21,0.33,0.2,0.39,0.43,0.42,0.7,-0.48,-0.58,-0.14,-0.11,0.03,0.02,-0.8,-0.4,-0.19,-0.17,0.08,0.21,-1.59,-0.69,-0.24,0.05,-0.08,0.07
          : rRNA processing ,1,-0.97,-0.66,-0.71,-0.63,-0.42,-0.06,-0.94,-1.06,-0.45,-0.4,-0.18,-0.15,0.33,0.3,0.45,0.13,0.45,0.35,-0.54,-0.72,-0.23,-0.33,-0.14,-0.32,-0.71,-0.41,-0.47,-0.3,-0.01,0.1,-1.55,-0.67,-0.21,-0.07,-0.06,0.17
UTP10      : processing of 20S pre-rRNA ,1,-0.74,-0.48,-0.22,-0.3,0.06,0.22,-0.9,-0.7,-0.27,-0.21,-0.14,0.25,-0.21,-0.09,0.03,0.26,0.4,0.7,-0.43,-0.39,0,0.06,0,0.1,-0.38,-0.12,0.01,-0.06,0.09,0.13,-1.03,-0.27,-0.15,-0.02,0.17,0.2
URB2       : ribosome biogenesis* ,1,-0.7,-0.51,-0.4,-0.33,0.03,0.23,-1.37,-1.08,-0.2,-0.19,0.06,0.27,-0.04,0.06,0.28,0.39,0.43,0.63,-1.12,-0.59,0.05,0.03,-0.15,0.22,-0.64,-0.37,-0.23,-0.14,0.08,0.11,-1.4,-0.48,-0.2,-0.1,0.11,0.13
          : biological process unknown ,1,-0.72,-0.33,-0.52,-0.67,-0.14,-0.1,-1.81,-1.14,0.2,0.22,0.54,0.38,-0.07,-0.2,0.32,0.71,0.42,0.77,-1.44,-0.68,-0.1,-0.02,-0.03,0.19,-0.61,-0.46,-0.44,-0.01,0.22,0.17,-1.31,-0.57,-0.03,0.15,0.26,0.17
UTP13      : processing of 20S pre-rRNA ,1,-0.6,-0.61,-0.24,-0.2,0.04,0.2,-1.37,-0.95,-0.24,0.06,0.22,0.19,-0.08,0.03,0.33,0.26,0.47,0.36,-0.94,-0.74,-0.11,0.01,0.27,0.1,-0.63,-0.14,0.12,0.1,0.38,0.48,-1.27,-0.46,0.23,0.31,0.12,0.26
          : biological process unknown ,1,-0.97,-0.47,-0.26,-0.36,0.02,0.24,-1.57,-1.03,-0.01,0.37,0.28,0.17,-0.08,-0.26,0.35,0.59,0.56,0.48,-0.32,-0.09,0.34,0.21,0.24,0.35,-0.62,-0.04,0.19,0.25,0.31,0.55,-1.15,0.17,0.55,0.57,0.39,0.27
GUK1       : GMP metabolism ,1,-0.98,-0.39,-0.38,-0.31,0.04,0.17,-1.71,-1.12,-0.26,-0.21,-0.04,0.26,-0.33,-0.09,0.2,0.63,0.53,0.65,-0.93,-0.2,0.43,0.31,0.33,0.4,-0.76,-0.29,-0.07,0.07,0.27,0.23,-1.06,-0.13,0.26,0.32,0.24,0.24
TSR2       : processing of 20S pre-rRNA ,1,-0.48,-0.3,-0.27,-0.37,-0.02,0.17,-1.91,-1.19,0.04,0.15,0.23,0.12,0.15,0.16,0.4,0.31,0.7,0.82,-0.42,-0.37,0.02,0.06,0.14,0.22,-0.67,-0.45,-0.26,-0.08,0.14,0.29,-1.06,-0.47,-0.03,0.23,0.08,0.26
          : biological process unknown ,1,-0.66,-0.15,-0.3,-0.25,0.1,0.13,-1.83,-1.11,0.03,0.1,0.16,-0.14,0.2,-0.03,0.38,0.55,0.46,0.64,-0.69,-0.63,-0.11,0.03,0.08,0.14,-0.57,-0.32,-0.18,0.17,0.14,0.36,-0.67,-0.21,0.18,0.44,0.24,0.06
RPB5       : transcription from RNA polymerase II promoter* ,1,-0.89,-0.43,-0.5,-0.46,-0.11,0.12,-1.36,-1.06,-0.19,0.21,0.26,0,0.1,0.11,0.19,0.31,0.4,0.49,-0.47,-0.31,0.02,0.14,0.18,0.16,-0.54,0.02,-0.01,0.18,0.3,0.4,-0.85,-0.18,0.11,0.32,0.2,0.23
RFC5       : mismatch repair* ,1,-0.93,-0.48,-0.61,-0.48,0.03,0.2,-1.48,-0.92,0.12,0.21,0.28,0.19,0.4,0.2,0.51,0.56,0.42,0.98,-0.35,-0.31,0.28,0.39,0.35,0.41,-0.57,-0.07,-0.05,0.19,0.18,0.45,-0.95,-0.34,0.2,0.32,0.24,0.15
CIC1       : ribosomal large subunit biogenesis* ,1,-0.68,-0.45,-0.47,-0.61,-0.18,0.1,-1.49,-0.64,0.04,0.24,0.08,-0.09,-0.18,0.03,0.07,0.03,0.42,0.58,-0.31,-0.21,0.22,0.12,0.26,0.06,-0.91,-0.29,-0.26,-0.05,0.05,0.25,-1.02,-0.43,-0.01,0.32,0.07,0.17
SER2       : serine family amino acid biosynthesis ,1,-0.96,-0.64,-0.85,-0.89,-0.37,0.13,-1.96,-1.22,0.06,0.16,0.43,0.1,-0.24,-0.07,0.1,0.24,0.7,0.88,-1.09,-0.73,-0.23,-0.15,0.07,-0.1,-0.6,0.18,0.32,0.43,0.35,0.53,-1.13,-0.69,-0.09,0.54,-0.04,0.28
          : biological process unknown ,1,-1.05,-0.75,-0.49,-0.58,-0.16,-0.04,-0.77,-0.86,-0.23,0,0.24,0.18,-0.01,0.07,0.32,0.47,0.64,0.73,-0.46,-0.27,-0.06,-0.12,-0.04,0.01,-0.92,-0.55,-0.11,-0.03,0.14,0.09,-0.76,-0.54,0.02,0.05,0.02,0.16
"SIL1       : SRP-dependent cotranslational protein-membrane targeting, translocation ",1,-0.62,-0.51,-0.26,-0.24,-0.21,-0.15,-0.94,-0.86,0.04,0.17,0.26,0.1,0.01,0,0.04,0.3,0.23,0.21,-0.61,-0.16,0.04,0.11,0.07,0.15,-0.55,-0.17,-0.28,-0.16,0.09,0.1,-0.66,-0.04,0.2,-0.13,-0.01,0
DTD1       : translation* ,1,-1.05,-0.62,-0.64,-0.62,0.04,0.08,-2.2,-1.36,0.13,0.49,0.59,0.3,-0.53,-0.47,-0.31,0.36,0.13,0.65,-0.69,-0.68,0.06,0.28,0.3,0.48,-0.75,-0.43,-0.1,0.24,0.34,0.25,-0.38,0.21,0.35,0.6,0.49,0.3
RPC11      : transcription from RNA polymerase III promoter ,1,-0.88,-0.08,-0.97,-0.61,-0.07,0.12,-1.53,-1.15,0.21,0.24,0.35,0.03,-0.27,-0.3,-0.01,0.33,0.27,0.71,-0.54,-0.13,0.23,0.33,0.35,0.31,-0.73,-0.52,-0.32,-0.04,0.05,0.09,-0.21,0.01,0.33,0.48,0.34,0.16
          : 35S primary transcript processing* ,1,-0.86,-0.42,-0.83,-0.77,-0.4,-0.28,-1.82,-1.12,0.17,0.27,0.11,-0.14,-0.15,-0.2,0.27,0.21,0.37,0.48,-0.72,-0.37,0.03,0.21,0.35,0.32,-0.54,-0.12,-0.29,0.13,0.09,0.38,-0.64,0.07,0.24,0.48,0.34,0.17
          : biological process unknown ,1,-0.74,-0.67,-0.63,-0.57,-0.23,-0.05,-1.65,-1.06,-0.25,0.12,0.12,0.04,-0.34,-0.3,-0.06,0.13,0.34,0.45,-0.32,-0.27,0.07,0.13,0.23,0.17,-0.53,0.07,0.02,0.15,0.04,0.29,-1.28,0.29,0.21,0.3,0.1,0.21
RAI1       : processing of 27S pre-rRNA* ,1,-0.79,-0.1,-0.33,-0.28,-0.12,-0.02,-1.16,-0.58,0.01,0.25,0.15,0.07,-0.46,-0.33,-0.17,0.27,0.26,0.09,-0.11,-0.09,0.37,0.23,0.35,0.17,-0.51,0.05,-0.02,0.01,0.14,0.25,-0.84,-0.11,0.15,0.26,0.12,0.15
          : biological process unknown ,1,-0.74,-0.29,-0.42,-0.44,-0.3,-0.11,-1.26,-0.88,-0.23,-0.05,0.19,-0.17,-0.28,-0.08,0.07,0.12,0.44,0.23,-1.17,-0.55,-0.13,-0.01,0.09,-0.07,-0.45,0.06,0.13,0.19,0.2,0.2,-1.07,-0.18,-0.31,0.1,-0.03,-0.01
DBP5       : mRNA-nucleus export ,1,-0.37,-0.43,-0.18,-0.19,-0.11,0.08,-0.78,-0.74,-0.04,0.05,0.3,0.09,-0.16,-0.02,0.02,-0.13,0.11,0.1,-0.92,-0.35,0.18,0.06,0.21,-0.12,-0.34,-0.07,0.07,0.12,0.11,0.28,-0.98,-0.14,-0.04,0.28,0.08,-0.03
LSM1       : rRNA processing* ,1,-0.38,-0.33,-0.23,-0.18,0.07,0.07,-1.57,-1.19,-0.11,-0.03,0.14,-0.1,-0.38,-0.1,-0.08,-0.01,0.17,-0.22,-1.33,-0.66,0.03,-0.11,0.03,-0.05,-0.52,-0.09,-0.03,0.02,0.11,0.38,-1.1,-0.05,0.11,0.41,0.08,0
RPL21A     : protein biosynthesis* ,1,-0.74,-0.27,-0.17,-0.2,0.07,0.25,-1.72,-1.85,-0.2,-0.09,0.28,0.28,-0.88,-0.67,-0.17,0.11,0.04,0.27,-1.35,-0.16,0.25,0.25,0.33,0.31,-0.48,-0.1,-0.16,-0.08,0.32,0.28,-1.33,-0.28,0.41,0.2,0.17,0
          : biological process unknown ,1,-0.89,0.06,-0.12,-0.35,-0.18,-0.23,-2.52,-2.09,-0.35,0.14,0.3,-0.21,-0.08,-0.06,0.08,0.45,0.13,0.18,-0.47,-0.03,0.5,0.33,0.42,0.31,-0.2,-0.29,-0.16,-0.14,0.2,0.15,-0.66,-0.26,0.41,0.48,0.12,-0.02
RPL32      : protein biosynthesis ,1,-0.07,0.1,-0.07,-0.32,-0.05,0.05,-1.46,-1.39,0,0.14,0.21,-0.14,-0.09,-0.17,0.07,0.3,0.2,0.09,-0.77,-0.31,-0.01,0,0.2,-0.02,-0.25,0.14,-0.08,-0.03,-0.02,0.01,-0.68,-0.25,0.16,-0.09,-0.14,-0.31
ELF1       : cell growth ,1,-0.48,0.02,-0.1,-0.25,-0.11,-0.18,-2.11,-1.8,0.11,-0.04,0.17,-0.23,-0.18,-0.23,0.17,0.3,0.23,0.01,-1.7,-0.25,0.1,0.04,-0.1,-0.07,-0.33,-0.14,-0.33,-0.12,-0.06,-0.23,-0.94,-0.14,0.17,-0.06,-0.08,-0.26
ERV15      : axial bud site selection ,1,-0.69,0,-0.22,-0.32,-0.14,0.02,-1.84,-1.21,0.01,0.17,0.15,0.11,0.12,0.02,0.3,0.6,0.12,0.36,-1.01,-0.27,-0.04,-0.01,0,0.07,-0.44,0.07,-0.03,0.22,0.25,0.21,-1.09,-0.21,-0.07,0.35,0.22,-0.03
YAE1       : biological process unknown ,1,-0.25,-0.02,-0.26,-0.28,0.06,0.22,-1.81,-1.14,-0.14,0.26,0.39,0.09,0.03,-0.15,0.08,0.27,0.19,0.3,-0.99,-0.33,0.01,0.12,0.21,0.22,-0.32,-0.09,-0.29,0.11,0.23,0.37,-0.64,-0.39,0.06,0.31,0.14,0.1
RPS12      : protein biosynthesis ,1,-0.01,0.13,0.2,-0.12,0.05,0.06,-2.09,-1.39,0.05,0.3,0.25,0.08,-0.5,-0.44,0.28,0.65,0.45,0.3,-0.56,-0.4,0.11,0.14,0.22,0.11,-0.11,-0.18,-0.18,-0.06,0.05,0.27,-0.94,-0.16,0.1,0.34,-0.01,-0.06
RPS19B     : protein biosynthesis ,1,-0.46,-0.08,0.15,-0.04,0.07,0.16,-2,-1.6,-0.2,0.13,0.28,0.06,-0.23,-0.41,0.23,0.45,0.43,0.53,-1.06,-0.09,0.25,0.22,0.42,0.27,0,0.06,0.18,0.18,0.27,0.42,-1.01,-0.16,0.31,0.31,0.15,-0.08
RPS19A     : protein biosynthesis ,1,-0.18,-0.06,0.12,-0.11,-0.04,0,-1.59,-1.03,-0.06,0.17,0.12,-0.07,-0.11,-0.66,0.11,0.32,0.23,0.28,-0.95,-0.06,0.06,0.11,0.18,0.15,-0.18,0,0.13,0.13,-0.02,0.29,-0.29,-0.12,0.12,0.3,0.01,-0.25
